Namespace(fusion_method='intermediate', hypes_yaml='/space/chuhz/workspace/v2x_object/Where2comm/opencood/hypes_yaml/dair-v2x/dair_where2comm_max_multiscale_resnet_logits_fuse3d_da_ce_0.2_add_occlusion_0.1.yaml', model_dir='')
Dataset Building
Creating Model
Training start
learning rate 0.002000
/space/chuhz/software/anaconda3/envs/Where2comm/lib/python3.7/site-packages/mmcv/__init__.py:21: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  'On January 1, 2023, MMCV will release v2.0.0, in which it will remove '
[epoch 0][79/801], || Loss: 6.00 ||total: 2.66 | reg: 1.49 | conf: 1.16 | total_v: 1.97 | reg_v: 1.13 | conf_v: 0.84 | total_i: 1.37 | reg_i: 0.74 | conf_i: 0.63 | 
[epoch 0][80/801], || Loss: 6.33 ||total: 2.83 | reg: 1.42 | conf: 1.42 | total_v: 1.92 | reg_v: 1.13 | conf_v: 0.80 | total_i: 1.57 | reg_i: 0.90 | conf_i: 0.68 | 
[epoch 0][81/801], || Loss: 6.08 ||total: 2.55 | reg: 1.60 | conf: 0.95 | total_v: 2.28 | reg_v: 1.24 | conf_v: 1.04 | total_i: 1.25 | reg_i: 0.64 | conf_i: 0.61 | 
[epoch 0][82/801], || Loss: 6.43 ||total: 2.42 | reg: 1.43 | conf: 0.99 | total_v: 2.10 | reg_v: 1.29 | conf_v: 0.81 | total_i: 1.92 | reg_i: 1.24 | conf_i: 0.68 | 
[epoch 0][83/801], || Loss: 7.03 ||total: 2.48 | reg: 1.52 | conf: 0.96 | total_v: 2.73 | reg_v: 1.69 | conf_v: 1.05 | total_i: 1.82 | reg_i: 1.16 | conf_i: 0.66 | 
[epoch 0][84/801], || Loss: 6.42 ||total: 2.30 | reg: 1.43 | conf: 0.86 | total_v: 2.50 | reg_v: 1.45 | conf_v: 1.05 | total_i: 1.62 | reg_i: 0.93 | conf_i: 0.69 | 
[epoch 0][85/801], || Loss: 8.15 ||total: 4.65 | reg: 2.13 | conf: 2.51 | total_v: 2.18 | reg_v: 1.35 | conf_v: 0.83 | total_i: 1.33 | reg_i: 0.69 | conf_i: 0.64 | 
[epoch 0][86/801], || Loss: 5.38 ||total: 2.06 | reg: 1.30 | conf: 0.76 | total_v: 1.87 | reg_v: 1.16 | conf_v: 0.71 | total_i: 1.45 | reg_i: 0.81 | conf_i: 0.63 | 
[epoch 0][87/801], || Loss: 6.09 ||total: 2.35 | reg: 1.59 | conf: 0.75 | total_v: 2.11 | reg_v: 1.44 | conf_v: 0.67 | total_i: 1.63 | reg_i: 0.92 | conf_i: 0.71 | 
[epoch 0][88/801], || Loss: 6.12 ||total: 2.52 | reg: 1.39 | conf: 1.13 | total_v: 2.21 | reg_v: 1.22 | conf_v: 0.98 | total_i: 1.40 | reg_i: 0.76 | conf_i: 0.64 | 
[epoch 0][89/801], || Loss: 6.75 ||total: 2.39 | reg: 1.56 | conf: 0.83 | total_v: 2.56 | reg_v: 1.68 | conf_v: 0.88 | total_i: 1.79 | reg_i: 1.10 | conf_i: 0.69 | 
[epoch 0][90/801], || Loss: 6.14 ||total: 2.48 | reg: 1.56 | conf: 0.91 | total_v: 2.05 | reg_v: 1.28 | conf_v: 0.77 | total_i: 1.61 | reg_i: 0.92 | conf_i: 0.70 | 
[epoch 0][91/801], || Loss: 6.01 ||total: 2.60 | reg: 1.35 | conf: 1.25 | total_v: 2.02 | reg_v: 1.25 | conf_v: 0.77 | total_i: 1.39 | reg_i: 0.75 | conf_i: 0.64 | 
[epoch 0][92/801], || Loss: 5.75 ||total: 2.55 | reg: 1.32 | conf: 1.23 | total_v: 1.88 | reg_v: 1.16 | conf_v: 0.72 | total_i: 1.32 | reg_i: 0.69 | conf_i: 0.63 | 
[epoch 0][93/801], || Loss: 6.13 ||total: 2.27 | reg: 1.34 | conf: 0.93 | total_v: 2.15 | reg_v: 1.38 | conf_v: 0.77 | total_i: 1.71 | reg_i: 1.03 | conf_i: 0.69 | 
[epoch 0][94/801], || Loss: 6.91 ||total: 2.67 | reg: 1.78 | conf: 0.89 | total_v: 2.46 | reg_v: 1.67 | conf_v: 0.79 | total_i: 1.78 | reg_i: 1.14 | conf_i: 0.64 | 
[epoch 0][95/801], || Loss: 5.87 ||total: 2.34 | reg: 1.50 | conf: 0.83 | total_v: 1.99 | reg_v: 1.32 | conf_v: 0.67 | total_i: 1.54 | reg_i: 0.97 | conf_i: 0.58 | 
[epoch 0][96/801], || Loss: 7.08 ||total: 2.76 | reg: 1.74 | conf: 1.03 | total_v: 2.69 | reg_v: 1.59 | conf_v: 1.10 | total_i: 1.63 | reg_i: 0.95 | conf_i: 0.68 | 
[epoch 0][97/801], || Loss: 6.83 ||total: 2.62 | reg: 1.69 | conf: 0.93 | total_v: 2.45 | reg_v: 1.72 | conf_v: 0.73 | total_i: 1.76 | reg_i: 1.09 | conf_i: 0.67 | 
[epoch 0][98/801], || Loss: 8.55 ||total: 2.92 | reg: 1.68 | conf: 1.23 | total_v: 3.43 | reg_v: 1.90 | conf_v: 1.53 | total_i: 2.20 | reg_i: 1.48 | conf_i: 0.73 | 
[epoch 0][99/801], || Loss: 6.15 ||total: 2.07 | reg: 1.29 | conf: 0.78 | total_v: 2.28 | reg_v: 1.49 | conf_v: 0.78 | total_i: 1.81 | reg_i: 1.13 | conf_i: 0.67 | 
[epoch 0][100/801], || Loss: 7.49 ||total: 3.35 | reg: 1.61 | conf: 1.75 | total_v: 2.23 | reg_v: 1.41 | conf_v: 0.82 | total_i: 1.90 | reg_i: 1.24 | conf_i: 0.66 | 
[epoch 0][101/801], || Loss: 6.34 ||total: 2.42 | reg: 1.68 | conf: 0.75 | total_v: 2.45 | reg_v: 1.72 | conf_v: 0.73 | total_i: 1.47 | reg_i: 0.87 | conf_i: 0.60 | 
[epoch 0][102/801], || Loss: 6.98 ||total: 2.57 | reg: 1.69 | conf: 0.88 | total_v: 2.40 | reg_v: 1.60 | conf_v: 0.81 | total_i: 2.01 | reg_i: 1.32 | conf_i: 0.69 | 
